"passenger_count","trip_distance","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
2,17.5,1,52,0,0.5,11.65,5.54,0.3,69.99
1,4.7,1,17,0,0.5,3,5.54,0.3,26.34
1,10.8,1,33.5,0,0.5,10,5.54,0.3,49.84
1,10.3,1,32.5,0,0.5,10,5.54,0.3,48.84
1,7.11,1,22,0,0.5,5.67,5.54,0.3,34.01
1,7.7,1,23.5,0,0.5,5.96,5.54,0.3,35.8
1,20.54,1,52,0,0.5,11.67,5.54,0.3,70.01
1,11.02,1,32,0,0.5,7.67,5.54,0.3,46.01
2,12.6,1,35.5,0,0.5,9.7,2.54,0.3,48.54
2,14,1,40.5,0,0.5,10,5.54,0.3,56.84
1,9.01,1,25.5,0,0.5,3,5.54,0.3,34.84
1,10.38,1,30,0,0.5,7.27,5.54,0.3,43.61
1,11.92,1,34.5,0,0.5,8.17,5.54,0.3,49.01
1,16.11,1,52,0,0.5,1,5.54,0.3,59.34
1,10.04,1,32,0,0.5,7.67,5.54,0.3,46.01
1,18.7,1,52,0,0.5,30,5.54,0.3,88.34
1,9.72,1,30,0,0.5,9.08,5.54,0.3,45.42
1,9.08,1,26.5,0,0.5,1,5.54,0.3,33.84
1,19.52,1,52,0,0.5,11.67,5.54,0.3,70.01
1,15.53,1,44.5,0,0.5,11,2.54,0.3,58.84
3,10.1,1,28.5,0,0.5,8.7,5.54,0.3,43.54
2,11.3,1,32,0,0.5,7.67,5.54,0.3,46.01
1,8.9,1,26,0,0.5,2,5.54,0.3,34.34
1,10.32,1,28.5,0,0.5,6.97,5.54,0.3,41.81
2,8.7,1,26,0,0.5,6.45,5.54,0.3,38.79
2,15.55,1,46,0,0.5,10.47,5.54,0.3,62.81
3,10.1,1,31.5,0,0.5,7.55,5.54,0.3,45.39
1,11.4,1,34.5,0,0.5,6,5.54,0.3,46.84
1,10.97,1,33,0,0.5,7.87,5.54,0.3,47.21
1,17.59,1,52,0,0.5,11.67,5.54,0.3,70.01
1,10.93,1,32,0,0.5,7.67,5.54,0.3,46.01
1,17.63,1,52,0,0.5,11.67,5.54,0.3,70.01
2,16.79,1,52,0,0.5,2,5.54,0.3,60.34
1,18.67,1,52,0,0.5,11.67,5.54,0.3,70.01
1,9.31,1,26,0,0.5,4.66,5.54,0.3,37
2,17.9,1,52,0,0.5,11.65,5.54,0.3,69.99
